horizon,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
30,0.24570084,0.8423098913664951,0.24331320103537532,0.3596938775510204,0.2902727740607308,0.7433962986651765,0.24841077361753802
60,0.23063824,0.7914236706689537,0.19800820152314,0.4262295081967213,0.2704,0.7029821583980556,0.2524538757820101
90,0.24716234,0.8679245283018868,0.3056558363417569,0.30528846153846156,0.30547203848466625,0.7191042126393763,0.28269358781159265
